,center,gridID,num_establishments,num_liquor_stores,num_restaurants,num_stores,num_bars
157,"[40.59852275534688, -73.85287714749757]",39604,0,0,0,0,0
158,"[40.59708494616797, -73.85098353986135]",39834,0,0,0,0,0
159,"[40.59564710606633, -73.85098353986135]",39835,0,0,0,0,0
160,"[40.59852275534688, -73.85098353986135]",39833,0,0,0,0,0
161,"[40.59708494616797, -73.84908993222511]",40063,0,0,0,0,0
162,"[40.59708494616797, -73.84719632458888]",40292,0,0,0,0,0
163,"[40.59564710606633, -73.84719632458888]",40293,0,0,0,0,0
164,"[40.59564710606633, -73.84908993222511]",40064,0,0,0,0,0
165,"[40.5942092350422, -73.84908993222511]",40065,0,0,0,0,0
166,"[40.5942092350422, -73.84719632458888]",40294,0,0,0,0,0
167,"[40.5942092350422, -73.85098353986135]",39836,0,0,0,0,0
168,"[40.5927713330958, -73.84908993222511]",40066,0,0,0,0,0
169,"[40.5927713330958, -73.84719632458888]",40295,0,0,0,0,0
170,"[40.5927713330958, -73.85098353986135]",39837,0,0,0,0,0
171,"[40.591333400227406, -73.85098353986135]",39838,0,0,0,0,0
172,"[40.589895436437246, -73.85098353986135]",39839,0,0,0,0,0
173,"[40.589895436437246, -73.84908993222511]",40068,0,0,0,0,0
174,"[40.58845744172555, -73.84719632458888]",40298,0,0,0,0,0
175,"[40.589895436437246, -73.84719632458888]",40297,0,0,0,0,0
176,"[40.591333400227406, -73.84719632458888]",40296,0,0,0,0,0
177,"[40.591333400227406, -73.84908993222511]",40067,0,0,0,0,0
178,"[40.5927713330958, -73.84530271695266]",40524,0,0,0,0,0
179,"[40.591333400227406, -73.84530271695266]",40525,0,0,0,0,0
180,"[40.589895436437246, -73.84530271695266]",40526,0,0,0,0,0
181,"[40.58845744172555, -73.84530271695266]",40527,0,0,0,0,0
182,"[40.589895436437246, -73.84340910931643]",40755,0,0,0,0,0
183,"[40.58845744172555, -73.84340910931643]",40756,0,0,0,0,0
184,"[40.58845744172555, -73.84151550168019]",40985,0,0,0,0,0
185,"[40.589895436437246, -73.84151550168019]",40984,0,0,0,0,0
186,"[40.591333400227406, -73.84340910931643]",40754,0,0,0,0,0
187,"[40.591333400227406, -73.84151550168019]",40983,0,0,0,0,0
188,"[40.5927713330958, -73.84151550168019]",40982,0,0,0,0,0
189,"[40.5942092350422, -73.84340910931643]",40752,0,0,0,0,0
190,"[40.5942092350422, -73.84151550168019]",40981,0,0,0,0,0
191,"[40.5927713330958, -73.84340910931643]",40753,0,0,0,0,0
192,"[40.5942092350422, -73.84530271695266]",40523,0,0,0,0,0
193,"[40.59564710606633, -73.84530271695266]",40522,0,0,0,0,0
194,"[40.59708494616797, -73.84530271695266]",40521,0,0,0,0,0
195,"[40.59708494616797, -73.84340910931643]",40750,0,0,0,0,0
196,"[40.59564710606633, -73.84340910931643]",40751,0,0,0,0,0
197,"[40.59564710606633, -73.84151550168019]",40980,0,0,0,0,0
198,"[40.59708494616797, -73.84151550168019]",40979,0,0,0,0,0
199,"[40.59852275534688, -73.84151550168019]",40978,0,0,0,0,0
200,"[40.59852275534688, -73.84530271695266]",40520,0,0,0,0,0
201,"[40.59852275534688, -73.84340910931643]",40749,0,0,0,0,0
202,"[40.599960533602825, -73.84530271695266]",40519,0,0,0,0,0
203,"[40.599960533602825, -73.84340910931643]",40748,0,0,0,0,0
204,"[40.599960533602825, -73.84151550168019]",40977,0,0,0,0,0
205,"[40.60139828093555, -73.84340910931643]",40747,0,0,0,0,0
206,"[40.60139828093555, -73.84151550168019]",40976,0,0,0,0,0
207,"[40.60139828093555, -73.84530271695266]",40518,0,0,0,0,0
208,"[40.599960533602825, -73.84719632458888]",40290,0,0,0,0,0
209,"[40.60139828093555, -73.84719632458888]",40289,0,0,0,0,0
210,"[40.602835997344826, -73.84719632458888]",40288,0,0,0,0,0
211,"[40.59852275534688, -73.84719632458888]",40291,0,0,0,0,0
212,"[40.599960533602825, -73.84908993222511]",40061,0,0,0,0,0
213,"[40.59852275534688, -73.84908993222511]",40062,0,0,0,0,0
214,"[40.599960533602825, -73.85098353986135]",39832,0,0,0,0,0
215,"[40.599960533602825, -73.85287714749757]",39603,0,0,0,0,0
216,"[40.60139828093555, -73.85098353986135]",39831,0,0,0,0,0
217,"[40.60139828093555, -73.85287714749757]",39602,0,0,0,0,0
218,"[40.602835997344826, -73.85287714749757]",39601,0,0,0,0,0
219,"[40.602835997344826, -73.85098353986135]",39830,0,0,0,0,0
220,"[40.602835997344826, -73.84908993222511]",40059,0,0,0,0,0
221,"[40.60139828093555, -73.84908993222511]",40060,0,0,0,0,0
222,"[40.60427368283041, -73.84719632458888]",40287,0,0,0,0,0
223,"[40.60427368283041, -73.84908993222511]",40058,0,0,0,0,0
224,"[40.60571133739206, -73.85098353986135]",39828,0,0,0,0,0
225,"[40.60427368283041, -73.85098353986135]",39829,0,0,0,0,0
226,"[40.60571133739206, -73.84908993222511]",40057,0,0,0,0,0
227,"[40.60427368283041, -73.85287714749757]",39600,0,0,0,0,0
228,"[40.60571133739206, -73.85287714749757]",39599,0,0,0,0,0
229,"[40.60714896102953, -73.85098353986135]",39827,0,0,0,0,0
230,"[40.60714896102953, -73.85287714749757]",39598,0,0,0,0,0
231,"[40.608586553742605, -73.85287714749757]",39597,0,0,0,0,0
232,"[40.60714896102953, -73.84908993222511]",40056,0,0,0,0,0
233,"[40.60571133739206, -73.84719632458888]",40286,0,0,0,0,0
234,"[40.60714896102953, -73.84719632458888]",40285,0,0,0,0,0
235,"[40.60714896102953, -73.84530271695266]",40514,0,0,0,0,0
236,"[40.60571133739206, -73.84530271695266]",40515,0,0,0,0,0
237,"[40.60427368283041, -73.84530271695266]",40516,0,0,0,0,0
238,"[40.602835997344826, -73.84530271695266]",40517,0,0,0,0,0
239,"[40.60427368283041, -73.84340910931643]",40745,0,0,0,0,0
240,"[40.602835997344826, -73.84340910931643]",40746,0,0,0,0,0
241,"[40.602835997344826, -73.84151550168019]",40975,0,0,0,0,0
242,"[40.60427368283041, -73.84151550168019]",40974,0,0,0,0,0
243,"[40.60571133739206, -73.84151550168019]",40973,0,0,0,0,0
244,"[40.60571133739206, -73.84340910931643]",40744,0,0,0,0,0
245,"[40.60714896102953, -73.84340910931643]",40743,0,0,0,0,0
246,"[40.60714896102953, -73.84151550168019]",40972,0,0,0,0,0
247,"[40.608586553742605, -73.84340910931643]",40742,0,0,0,0,0
248,"[40.608586553742605, -73.84151550168019]",40971,0,0,0,0,0
249,"[40.608586553742605, -73.84530271695266]",40513,0,0,0,0,0
250,"[40.608586553742605, -73.84719632458888]",40284,0,0,0,0,0
251,"[40.61002411553103, -73.84719632458888]",40283,0,0,0,0,0
252,"[40.61002411553103, -73.84530271695266]",40512,0,0,0,0,0
253,"[40.61146164639455, -73.84719632458888]",40282,0,0,0,0,0
254,"[40.61289914633295, -73.84719632458888]",40281,0,0,0,0,0
255,"[40.61146164639455, -73.84530271695266]",40511,0,0,0,0,0
256,"[40.61146164639455, -73.84340910931643]",40740,0,0,0,0,0
257,"[40.61002411553103, -73.84340910931643]",40741,0,0,0,0,0
258,"[40.61002411553103, -73.84151550168019]",40970,0,0,0,0,0
259,"[40.61146164639455, -73.84151550168019]",40969,0,0,0,0,0
260,"[40.61289914633295, -73.84151550168019]",40968,0,0,0,0,0
261,"[40.61289914633295, -73.84530271695266]",40510,0,0,0,0,0
262,"[40.61289914633295, -73.84340910931643]",40739,0,0,0,0,0
263,"[40.61433661534597, -73.84530271695266]",40509,0,0,0,0,0
264,"[40.61433661534597, -73.84340910931643]",40738,0,0,0,0,0
265,"[40.61433661534597, -73.84151550168019]",40967,0,0,0,0,0
266,"[40.615774053433384, -73.84151550168019]",40966,0,0,0,0,0
267,"[40.61721146059494, -73.84340910931643]",40736,0,0,0,0,0
268,"[40.615774053433384, -73.84340910931643]",40737,0,0,0,0,0
269,"[40.61721146059494, -73.84530271695266]",40507,0,0,0,0,0
270,"[40.615774053433384, -73.84530271695266]",40508,0,0,0,0,0
271,"[40.61433661534597, -73.84719632458888]",40280,0,0,0,0,0
272,"[40.61721146059494, -73.84719632458888]",40278,0,0,0,0,0
273,"[40.615774053433384, -73.84719632458888]",40279,0,0,0,0,0
274,"[40.61289914633295, -73.84908993222511]",40052,0,0,0,0,0
275,"[40.61433661534597, -73.85098353986135]",39822,0,0,0,0,0
276,"[40.61289914633295, -73.85098353986135]",39823,0,0,0,0,0
277,"[40.61433661534597, -73.84908993222511]",40051,0,0,0,0,0
278,"[40.615774053433384, -73.85098353986135]",39821,0,0,0,0,0
279,"[40.61721146059494, -73.84908993222511]",40049,0,0,0,0,0
280,"[40.615774053433384, -73.84908993222511]",40050,0,0,0,0,0
281,"[40.61721146059494, -73.85098353986135]",39820,0,0,0,0,0
282,"[40.615774053433384, -73.85287714749757]",39592,0,0,0,0,0
283,"[40.61721146059494, -73.85287714749757]",39591,0,0,0,0,0
284,"[40.61864883683044, -73.85287714749757]",39590,0,0,0,0,0
285,"[40.61433661534597, -73.85287714749757]",39593,0,0,0,0,0
286,"[40.61289914633295, -73.85287714749757]",39594,0,0,0,0,0
287,"[40.61002411553103, -73.85287714749757]",39596,0,0,0,0,0
288,"[40.61146164639455, -73.85287714749757]",39595,0,0,0,0,0
289,"[40.61146164639455, -73.85098353986135]",39824,0,0,0,0,0
290,"[40.61002411553103, -73.85098353986135]",39825,0,0,0,0,0
291,"[40.61146164639455, -73.84908993222511]",40053,0,0,0,0,0
292,"[40.61002411553103, -73.84908993222511]",40054,0,0,0,0,0
293,"[40.608586553742605, -73.85098353986135]",39826,0,0,0,0,0
294,"[40.608586553742605, -73.84908993222511]",40055,0,0,0,0,0
295,"[40.608586553742605, -73.8547707551338]",39368,0,0,0,0,0
